Text,Gloss,NpyFilesRoot
please keep your arm elevated to reduce swelling,ARM KEEP ELEVATE REDUCE SWELLING,/ARM KEEP ELEVATE REDUCE SWELLING/*.npy
i'm here to assist with their care what do i need to know?,"ASSIST THEIR CARE, KNOW NEED WHAT?","/ASSIST THEIR CARE, KNOW NEED WHAT?/*.npy"
i need to understand the precautions for my autoimmune disease,"AUTOIMMUNE DISEASE, PRECAUTIONS UNDERSTAND NEED","/AUTOIMMUNE DISEASE, PRECAUTIONS UNDERSTAND NEED/*.npy"
we need to check your balance and coordination,BALANCE COORDINATION CHECK NEED,/BALANCE COORDINATION CHECK NEED/*.npy
i'm having trouble with my balance is that normal?,"BALANCE TROUBLE HAVE I, NORMAL?","/BALANCE TROUBLE HAVE I, NORMAL?/*.npy"
can you show me how to change this badage?,"BANDAGE CHANGE HOW, SHOW CAN YOU?","/BANDAGE CHANGE HOW, SHOW CAN YOU?/*.npy"
can i get a nurse to assist me with bathing?,"BATHING, NURSE ASSIST CAN?","/BATHING, NURSE ASSIST CAN?/*.npy"
can i eat before the blood test?,BEFORE BLOOD TEST EAT CAN I?,/BEFORE BLOOD TEST EAT CAN I?/*.npy
how can we work together to ensure the best outcome for their health?,"BEST OUTCOME ENSURE, WORK TOGETHER HOW?","/BEST OUTCOME ENSURE, WORK TOGETHER HOW?/*.npy"
do you need any help understanding the billing or insurance process?,BILLING INSURANCE PROCESS UNDERSTAND HELP NEED?,/BILLING INSURANCE PROCESS UNDERSTAND HELP NEED?/*.npy
i have a question about my billing statement,"BILLING STATEMENT, QUESTION HAVE I","/BILLING STATEMENT, QUESTION HAVE I/*.npy"
we need to discuss birth control options,BIRTH CONTROL OPTIONS DISCUSS,/BIRTH CONTROL OPTIONS DISCUSS/*.npy
please inform me if you experience any bleeding,BLEEDING EXPERIENCE INFORM ME PLEASE,/BLEEDING EXPERIENCE INFORM ME PLEASE/*.npy
it's important to keep a record of your blood glucose levels,BLOOD GLUCOSE LEVELS RECORD KEEP,/BLOOD GLUCOSE LEVELS RECORD KEEP/*.npy
we'll be doing a routine check of your blood levels,BLOOD LEVELS ROUTINE CHECK WE DO,/BLOOD LEVELS ROUTINE CHECK WE DO/*.npy
it's important to check your blood pressure regularly,BLOOD PRESSURE CHECK REGULAR IMPORTANT,/BLOOD PRESSURE CHECK REGULAR IMPORTANT/*.npy
we need to monitor your blood pressure levels,BLOOD PRESSURE LEVELS MONITOR NEED,/BLOOD PRESSURE LEVELS MONITOR NEED/*.npy
can you show me how to monitor my blood pressure at home?,"BLOOD PRESSURE MONITOR HOW, SHOW CAN YOU?","/BLOOD PRESSURE MONITOR HOW, SHOW CAN YOU?/*.npy"
it's important to manage your blood sugar levels,BLOOD SUGAR LEVEL MANAGE IMPORTANT,/BLOOD SUGAR LEVEL MANAGE IMPORTANT/*.npy
it's important to get regular blood test,BLOOD TEST REGULAR GET IMPORTANT,/BLOOD TEST REGULAR GET IMPORTANT/*.npy
we'll be checking for any abnormalities in your blood work,BLOOD WORK ABNORMALITIES CHECK WE DO,/BLOOD WORK ABNORMALITIES CHECK WE DO/*.npy
let's schedule a bone density test,BONE DENSITY TEST SCHEDULE WE WILL,/BONE DENSITY TEST SCHEDULE WE WILL/*.npy
we need to evaluate your bone health and risk for fractures,BONE HEALTH FRACTURE RISK EVALUATE NEED,/BONE HEALTH FRACTURE RISK EVALUATE NEED/*.npy
have you noticed any changes in your bowel movement?,BOWEL MOVEMENT CHANGES NOTICE YOU?,/BOWEL MOVEMENT CHANGES NOTICE YOU?/*.npy
are you experiencing any shortness of breath?,BREATH SHORT YOU EXPERIENCE?,/BREATH SHORT YOU EXPERIENCE?/*.npy
i'm having difficulty breathing what should i do?,"BREATHING DIFFICULTY HAVE I, WHAT DO SHOULD I?","/BREATHING DIFFICULTY HAVE I, WHAT DO SHOULD I?/*.npy"
i need help with my breathing exercises,"BREATHING EXERCISES, HELP NEED I","/BREATHING EXERCISES, HELP NEED I/*.npy"
we need to discuss your caffeine and tobacco use,CAFFEINE TOBACCO USE DISCUSS,/CAFFEINE TOBACCO USE DISCUSS/*.npy
it's important to us that you feel comfortable and informed about your care,CARE COMFORTABLE INFORMED FEEL IMPORTANT TO US,/CARE COMFORTABLE INFORMED FEEL IMPORTANT TO US/*.npy
i'm looking for resources on how to care for someone with their condition,"CARE FOR THEM, CONDITION THEIR WITH, RESOURCES LOOK FOR","/CARE FOR THEM, CONDITION THEIR WITH, RESOURCES LOOK FOR/*.npy"
is there a coordinator i can speak with about ongoing care?,"CARE ONGOING, COORDINATOR SPEAK WITH, CAN?","/CARE ONGOING, COORDINATOR SPEAK WITH, CAN?/*.npy"
would you like to discuss your options for advanced care planning?,CARE PLANNING ADVANCED DISCUSS WANT?,/CARE PLANNING ADVANCED DISCUSS WANT?/*.npy
i want to be involved in their care planning,"CARE PLANNING, INVOLVED WANT","/CARE PLANNING, INVOLVED WANT/*.npy"
do you have any questions about the instructions for your post-operative care?,CARE POST-OPERATIVE INSTRUCTION QUESTION HAVE?,/CARE POST-OPERATIVE INSTRUCTION QUESTION HAVE?/*.npy
i'm worried about managing their care on my own can you provide any advice?,"CARE THEIR MANAGE, ALONE WORRY, ADVICE PROVIDE CAN?","/CARE THEIR MANAGE, ALONE WORRY, ADVICE PROVIDE CAN?/*.npy"
i'd like to know how to manage their care more effectively,"CARE THEIR MANAGE, HOW LEARN WANT","/CARE THEIR MANAGE, HOW LEARN WANT/*.npy"
is there any special training i need to assist with their care?,"CARE THEIR, ASSIST, TRAINING SPECIAL NEED?","/CARE THEIR, ASSIST, TRAINING SPECIAL NEED?/*.npy"
is there specific equipment we need to get for their care at home?,"CARE THEIR, EQUIPMENT SPECIFIC HOME NEED?","/CARE THEIR, EQUIPMENT SPECIFIC HOME NEED?/*.npy"
i'm looking for advice on how to balance my caregiving responsibilities,"CAREGIVING RESPONSIBILITIES, BALANCE ADVICE LOOK FOR","/CAREGIVING RESPONSIBILITIES, BALANCE ADVICE LOOK FOR/*.npy"
i'm experiencing discomfort with my cast,"CAST MY, DISCOMFORT FEEL I","/CAST MY, DISCOMFORT FEEL I/*.npy"
can you provide a cheaper alternative to this medicine?,CHEAPER ALTERNATIVE THIS MEDICINE PROVIDE CAN YOU?,/CHEAPER ALTERNATIVE THIS MEDICINE PROVIDE CAN YOU?/*.npy
we'll start with checking your heart function,CHECK HEART FUNCTION WE START,/CHECK HEART FUNCTION WE START/*.npy
we recommend scheduling regular check-ups for ongoing monitoring,CHECK-UP REGULAR SCHEDULE RECOMMEND,/CHECK-UP REGULAR SCHEDULE RECOMMEND/*.npy
how often should i come in for a check-up?,"CHECK-UP, HOW OFTEN COME SHOULD I?","/CHECK-UP, HOW OFTEN COME SHOULD I?/*.npy"
we'll be doing a digital exam,CHECKUP DIGITAL EXAM DO,/CHECKUP DIGITAL EXAM DO/*.npy
i need to understand the side effects of chemotherapy,"CHEMOTHERAPY SIDE EFFECTS, UNDERSTAND NEED","/CHEMOTHERAPY SIDE EFFECTS, UNDERSTAND NEED/*.npy"
are you currently experiencing any chest pain?,CHEST PAIN EXPERIENCE YOU NOW?,/CHEST PAIN EXPERIENCE YOU NOW?/*.npy
we need to check your cholesterol levels,CHOLESTEROL LEVELS CHECK NEED,/CHOLESTEROL LEVELS CHECK NEED/*.npy
we offer support services for patients with chronic conditions,CHRONIC CONDITIONS PATIENTS SUPPORT SERVICES WE OFFER,/CHRONIC CONDITIONS PATIENTS SUPPORT SERVICES WE OFFER/*.npy
i need advice on coping with chronic fatigue,"CHRONIC FATIGUE, COPING ADVICE NEED","/CHRONIC FATIGUE, COPING ADVICE NEED/*.npy"
please let me know if you need help managing chronic pain,CHRONIC PAIN HELP NEED INFORM ME,/CHRONIC PAIN HELP NEED INFORM ME/*.npy
can you help me manage my chronic pain?,CHRONIC PAIN MANAGE HELP CAN YOU?,/CHRONIC PAIN MANAGE HELP CAN YOU?/*.npy
can you provide more information on this clinical trial?,"CLINICAL TRIAL THIS, MORE INFORMATION PROVIDE CAN YOU?","/CLINICAL TRIAL THIS, MORE INFORMATION PROVIDE CAN YOU?/*.npy"
how can i assist in their cognitive exercises or therapies?,"COGNITIVE EXERCISES, THERAPIES, ASSIST HOW CAN?","/COGNITIVE EXERCISES, THERAPIES, ASSIST HOW CAN?/*.npy"
i want to make sure they're comfortable can I bring personal items from home?,"COMFORTABLE MAKE SURE WANT, PERSONAL ITEMS FROM HOME BRING CAN?","/COMFORTABLE MAKE SURE WANT, PERSONAL ITEMS FROM HOME BRING CAN?/*.npy"
can you provide information on how to prevent complications?,"COMPLICATIONS PREVENT, INFORMATION PROVIDE CAN?","/COMPLICATIONS PREVENT, INFORMATION PROVIDE CAN?/*.npy"
are you experiencing any difficulties with daily activities due to your condition?,CONDITION AFFECT DAILY ACTIVITY HOW?,/CONDITION AFFECT DAILY ACTIVITY HOW?/*.npy
how has your condition impacted your work or daily routines?,CONDITION AFFECT WORK DAILY ROUTINE HOW?,/CONDITION AFFECT WORK DAILY ROUTINE HOW?/*.npy
i'd like to know how their current condition might affect their future health,"CONDITION CURRENT THEIR, FUTURE HEALTH AFFECT HOW, KNOW WANT","/CONDITION CURRENT THEIR, FUTURE HEALTH AFFECT HOW, KNOW WANT/*.npy"
do you have any concerns about the long-term effects of your condition?,CONDITION LONG-TERM EFFECT CONCERN HAVE?,/CONDITION LONG-TERM EFFECT CONCERN HAVE?/*.npy
are there any concerns you have about managing your condition long-term?,CONDITION LONG-TERM MANAGE CONCERN ANY?,/CONDITION LONG-TERM MANAGE CONCERN ANY?/*.npy
would you like more information on how to manage your condition at home?,CONDITION MANAGE HOME INFORMATION WANT?,/CONDITION MANAGE HOME INFORMATION WANT?/*.npy
can we discuss ways to manage their condition without overmedication?,"CONDITION MANAGE, OVERMEDICATION WITHOUT, WAYS DISCUSS?","/CONDITION MANAGE, OVERMEDICATION WITHOUT, WAYS DISCUSS?/*.npy"
can i get a list of foods to avoid with my condition?,"CONDITION MY, AVOID FOODS LIST GET CAN I?","/CONDITION MY, AVOID FOODS LIST GET CAN I?/*.npy"
is there a risk of relapse with my condition?,"CONDITION MY, RELAPSE RISK?","/CONDITION MY, RELAPSE RISK?/*.npy"
what steps can we take to prevent this condition from recurring?,"CONDITION PREVENT, RECURRING STEPS WHAT?","/CONDITION PREVENT, RECURRING STEPS WHAT?/*.npy"
i'd like to understand more about the risks associated with their condition,"CONDITION RISKS, UNDERSTAND MORE WANT","/CONDITION RISKS, UNDERSTAND MORE WANT/*.npy"
i'm here to learn how to monitor their condition effectively,"CONDITION THEIR MONITOR, LEARN HERE I","/CONDITION THEIR MONITOR, LEARN HERE I/*.npy"
are there any activities or foods you should avoid with this condition?,CONDITION THIS AVOID ACTIVITY OR FOOD ANY?,/CONDITION THIS AVOID ACTIVITY OR FOOD ANY?/*.npy
how will this condition affect my lifestyle?,"CONDITION THIS, MY LIFESTYLE AFFECT HOW?","/CONDITION THIS, MY LIFESTYLE AFFECT HOW?/*.npy"
what are the signs that their condition is worsening?,"CONDITION WORSEN, SIGNS WHAT?","/CONDITION WORSEN, SIGNS WHAT?/*.npy"
we'll need you to sign some consent forms,CONSENT FORMS SIGN NEED YOU,/CONSENT FORMS SIGN NEED YOU/*.npy
have you been exposed to anyone with contagious diseases recently?,CONTAGIOUS DISEASES EXPOSE RECENT ANY?,/CONTAGIOUS DISEASES EXPOSE RECENT ANY?/*.npy
we offer counseling services if you need someone to talk to,COUNSELING SERVICES NEED? WE OFFER,/COUNSELING SERVICES NEED? WE OFFER/*.npy
do you have any cultural or religious considerations we should be aware of in your care?,CULTURE RELIGION CARE CONSIDER NEED?,/CULTURE RELIGION CARE CONSIDER NEED?/*.npy
can you teach me how to help them with daily exercises?,"DAILY EXERCISES, HELP THEM WITH, TEACH ME CAN?","/DAILY EXERCISES, HELP THEM WITH, TEACH ME CAN?/*.npy"
i'm looking for advice on how to make their daily life easier,"DAILY LIFE EASIER MAKE, ADVICE NEED","/DAILY LIFE EASIER MAKE, ADVICE NEED/*.npy"
it's important to maintain regular dental checkups,DENTAL CHECKUPS REGULAR MAINTAIN,/DENTAL CHECKUPS REGULAR MAINTAIN/*.npy
are you feeling depressed or anxious?,DEPRESSED ANXIOUS FEEL YOU?,/DEPRESSED ANXIOUS FEEL YOU?/*.npy
can you explain their diagnosis to me? i'm their caregiver,"DIAGNOSIS THEIR, EXPLAIN TO ME, CAREGIVER I","/DIAGNOSIS THEIR, EXPLAIN TO ME, CAREGIVER I/*.npy"
do you need clarification on any part of your diagnosis or treatment plan?,DIAGNOSIS TREATMENT PLAN CLARIFICATION NEED?,/DIAGNOSIS TREATMENT PLAN CLARIFICATION NEED?/*.npy
it's important to maintain a balanced diet,DIET BALANCED MAINTAIN IMPORTANT,/DIET BALANCED MAINTAIN IMPORTANT/*.npy
we offer nutritional counseling to help with your diet,DIET HELP NUTRITIONAL COUNSELING WE OFFER,/DIET HELP NUTRITIONAL COUNSELING WE OFFER/*.npy
do you have any specific dietary needs or restrictions?,DIET NEED SPECIAL OR RESTRICTION HAVE?,/DIET NEED SPECIAL OR RESTRICTION HAVE?/*.npy
can i have a diet plan for my high cholesterol?,"DIET PLAN HIGH CHOLESTEROL FOR, HAVE CAN I?","/DIET PLAN HIGH CHOLESTEROL FOR, HAVE CAN I?/*.npy"
have you been following the diet plan we discussed last time?,DIET PLAN WE DISCUSS LAST TIME YOU FOLLOW?,/DIET PLAN WE DISCUSS LAST TIME YOU FOLLOW?/*.npy
i'm here to help with their dietary needs can you give me guidelines?,"DIETARY NEEDS THEIR, HELP WITH, GUIDELINES GIVE CAN?","/DIETARY NEEDS THEIR, HELP WITH, GUIDELINES GIVE CAN?/*.npy"
do you have any dietary restrictions?,DIETARY RESTRICTIONS HAVE YOU?,/DIETARY RESTRICTIONS HAVE YOU?/*.npy
can i get a dietitian consultation?,DIETITIAN CONSULTATION GET CAN I?,/DIETITIAN CONSULTATION GET CAN I?/*.npy
is there a dietitian we can talk to about meal planning?,"DIETITIAN, MEAL PLAN, TALK CAN?","/DIETITIAN, MEAL PLAN, TALK CAN?/*.npy"
have you been experiencing any digestive issues?,DIGESTIVE ISSUES EXPERIENCE YOU?,/DIGESTIVE ISSUES EXPERIENCE YOU?/*.npy
can you explain the follow-up care after my discharge?,"DISCHARGE AFTER, FOLLOW-UP CARE EXPLAIN CAN YOU?","/DISCHARGE AFTER, FOLLOW-UP CARE EXPLAIN CAN YOU?/*.npy"
i'd like to know more about the follow-up care after they're discharged,"DISCHARGE AFTER, FOLLOW-UP CARE, MORE KNOW WANT","/DISCHARGE AFTER, FOLLOW-UP CARE, MORE KNOW WANT/*.npy"
i'm worried about how they'll manage once they're discharged what resources are available?,"DISCHARGE AFTER, MANAGE HOW, WORRY I, RESOURCES WHAT?","/DISCHARGE AFTER, MANAGE HOW, WORRY I, RESOURCES WHAT?/*.npy"
can i have a printout of my discharge instructions?,"DISCHARGE INSTRUCTIONS, PRINTOUT HAVE CAN I?","/DISCHARGE INSTRUCTIONS, PRINTOUT HAVE CAN I?/*.npy"
can we discuss their discharge plan in detail?,"DISCHARGE PLAN THEIR, DISCUSS DETAIL CAN?","/DISCHARGE PLAN THEIR, DISCUSS DETAIL CAN?/*.npy"
can we arrange for special assistance when they're discharged?,"DISCHARGED THEY, SPECIAL ASSISTANCE ARRANGE CAN?","/DISCHARGED THEY, SPECIAL ASSISTANCE ARRANGE CAN?/*.npy"
have you had any dizziness or fainting spells?,DIZZINESS FAINTING EXPERIENCE YOU?,/DIZZINESS FAINTING EXPERIENCE YOU?/*.npy
what symptoms should prompt an immediate call to the doctor?,"DOCTOR CALL IMMEDIATE, SYMPTOMS WHAT PROMPT?","/DOCTOR CALL IMMEDIATE, SYMPTOMS WHAT PROMPT?/*.npy"
can you provide the names of any previous doctors you've seen?,DOCTOR PAST NAME ANY PROVIDE CAN YOU?,/DOCTOR PAST NAME ANY PROVIDE CAN YOU?/*.npy
i'd like to speak with the doctor about their treatment plan,"DOCTOR SPEAK WANT, TREATMENT PLAN THEIR ABOUT","/DOCTOR SPEAK WANT, TREATMENT PLAN THEIR ABOUT/*.npy"
do you have someone to drive you home after the procedure?,DRIVE HOME PERSON HAVE YOU?,/DRIVE HOME PERSON HAVE YOU?/*.npy
can we discuss the signs of potential drug interactions or side effects?,"DRUG INTERACTIONS, SIDE EFFECTS SIGNS, DISCUSS CAN?","/DRUG INTERACTIONS, SIDE EFFECTS SIGNS, DISCUSS CAN?/*.npy"
have you been experiencing any ear pain?,EAR PAIN EXPERIENCE YOU?,/EAR PAIN EXPERIENCE YOU?/*.npy
how can i make this easier for your child?,EASIER FOR YOUR CHILD HOW?,/EASIER FOR YOUR CHILD HOW?/*.npy
can you confirm your emergency contact information?,EMERGENCY CONTACT CONFIRM CAN?,/EMERGENCY CONTACT CONFIRM CAN?/*.npy
we need to update your emergency contact information,EMERGENCY CONTACT UPDATE NEED,/EMERGENCY CONTACT UPDATE NEED/*.npy
i need to update my emergency contact information,"EMERGENCY CONTACT, UPDATE NEED I","/EMERGENCY CONTACT, UPDATE NEED I/*.npy"
what should we do if there's an emergency related to their condition?,"EMERGENCY IF, CONDITION RELATED THEIR, DO WHAT?","/EMERGENCY IF, CONDITION RELATED THEIR, DO WHAT?/*.npy"
can we discuss how to handle their condition in an emergency?,"EMERGENCY, CONDITION THEIR HANDLE, HOW DISCUSS?","/EMERGENCY, CONDITION THEIR HANDLE, HOW DISCUSS?/*.npy"
i'd like to know how to handle their emotional ups and downs,"EMOTIONAL UPS DOWNS, HANDLE HOW, KNOW WANT","/EMOTIONAL UPS DOWNS, HANDLE HOW, KNOW WANT/*.npy"
we need to discuss your exposure to environmental toxins,ENVIRONMENTAL TOXINS EXPOSURE DISCUSS,/ENVIRONMENTAL TOXINS EXPOSURE DISCUSS/*.npy
are you comfortable proceeding with this examination?,EXAMINATION CONTINUE COMFORTABLE YOU?,/EXAMINATION CONTINUE COMFORTABLE YOU?/*.npy
can i stay with them during the examination?,"EXAMINATION DURING, STAY WITH THEM CAN I?","/EXAMINATION DURING, STAY WITH THEM CAN I?/*.npy"
please wear comfortable clothing for the physical examination,"EXAMINATION PHYSICAL, WEAR COMFORTABLE CLOTHING PLEASE","/EXAMINATION PHYSICAL, WEAR COMFORTABLE CLOTHING PLEASE/*.npy"
would you like guidance on exercise and diet for your health?,EXERCISE DIET GUIDANCE WANT?,/EXERCISE DIET GUIDANCE WANT?/*.npy
have you been following the exercise recommendations?,EXERCISE RECOMMENDATIONS FOLLOW YOU?,/EXERCISE RECOMMENDATIONS FOLLOW YOU?/*.npy
it's important to exercise regularly,EXERCISE REGULAR IMPORTANT,/EXERCISE REGULAR IMPORTANT/*.npy
can we get a list of recommended exercises for them?,"EXERCISES RECOMMENDED, LIST GET CAN?","/EXERCISES RECOMMENDED, LIST GET CAN?/*.npy"
it's important to get regular eye exams,EYE EXAMS REGULAR GET IMPORTANT,/EYE EXAMS REGULAR GET IMPORTANT/*.npy
have you been experiencing any eye irritation or vision changes?,EYE IRRITATION VISION CHANGE EXPERIENCE YOU?,/EYE IRRITATION VISION CHANGE EXPERIENCE YOU?/*.npy
we need to check your eyesight and hearing,EYESIGHT HEARING CHECK NEED,/EYESIGHT HEARING CHECK NEED/*.npy
can you provide any feedback on your experience with our medical facility so far?,FACILITY MEDICAL EXPERIENCE FEEDBACK CAN GIVE?,/FACILITY MEDICAL EXPERIENCE FEEDBACK CAN GIVE?/*.npy
did you fall or got injured recently?,FALL INJURED RECENT YOU?,/FALL INJURED RECENT YOU?/*.npy
i'm looking for guidance on how to reduce their risk of falls,"FALLS RISK REDUCE, GUIDANCE LOOK FOR","/FALLS RISK REDUCE, GUIDANCE LOOK FOR/*.npy"
how has your family been coping with your health situation?,FAMILY COPE HEALTH SITUATION HOW?,/FAMILY COPE HEALTH SITUATION HOW?/*.npy
can you provide details of any family history of this condition?,FAMILY HISTORY CONDITION DETAIL CAN GIVE?,/FAMILY HISTORY CONDITION DETAIL CAN GIVE?/*.npy
it's important to inform us of any changes in your family's medical history,FAMILY MEDICAL HISTORY CHANGE TELL IMPORTANT,/FAMILY MEDICAL HISTORY CHANGE TELL IMPORTANT/*.npy
we need to discuss your family's medical history,FAMILY MEDICAL HISTORY DISCUSS NEED,/FAMILY MEDICAL HISTORY DISCUSS NEED/*.npy
please inform me if you're feeling anxious,FEEL ANXIOUS PLEASE INFORM ME,/FEEL ANXIOUS PLEASE INFORM ME/*.npy
i'm feeling depressed are there resources available for me?,"FEEL DEPRESSED I, RESOURCES AVAILABLE?","/FEEL DEPRESSED I, RESOURCES AVAILABLE?/*.npy"
can you check why i'm feeling dizzy?,"FEEL DIZZY WHY, CHECK CAN YOU?","/FEEL DIZZY WHY, CHECK CAN YOU?/*.npy"
how have you been feeling emotionally with your current health condition?,FEEL EMOTIONAL HEALTH CURRENT HOW?,/FEEL EMOTIONAL HEALTH CURRENT HOW?/*.npy
i'm feeling nauseous is that a side effect?,"FEEL NAUSEOUS, SIDE EFFECT?","/FEEL NAUSEOUS, SIDE EFFECT?/*.npy"
i'm feeling overwhelmed can i speak with a counselor?,"FEEL OVERWHELMED I, COUNSELOR TALK CAN?","/FEEL OVERWHELMED I, COUNSELOR TALK CAN?/*.npy"
we recommend getting a flu shot annually,FLU SHOT ANNUALLY WE RECOMMEND,/FLU SHOT ANNUALLY WE RECOMMEND/*.npy
please keep your follow-up appointments for continuous care,FOLLOW-UP APPOINTMENTS KEEP IMPORTANT,/FOLLOW-UP APPOINTMENTS KEEP IMPORTANT/*.npy
how often should we come in for follow-up appointments?,"FOLLOW-UP APPOINTMENTS, HOW OFTEN COME?","/FOLLOW-UP APPOINTMENTS, HOW OFTEN COME?/*.npy"
do you have any questions about the follow-up procedures?,FOLLOW-UP PROCEDURE QUESTION HAVE?,/FOLLOW-UP PROCEDURE QUESTION HAVE?/*.npy
it's important to have regular follow-ups to monitor your heart condition,FOLLOW-UP REGULAR HEART MONITOR IMPORTANT,/FOLLOW-UP REGULAR HEART MONITOR IMPORTANT/*.npy
we'll need to schedule a follow-up to assess your treatment progress,FOLLOW-UP SCHEDULE NEED TO ASSESS PROGRESS,/FOLLOW-UP SCHEDULE NEED TO ASSESS PROGRESS/*.npy
please roll up your sleeve for the blood test,"FOR BLOOD-TEST, SLEEVE ROLL-UP PLEASE","/FOR BLOOD-TEST, SLEEVE ROLL-UP PLEASE/*.npy"
i'm experiencing numbness in my hands and feet,"HANDS FEET, NUMBNESS EXPERIENCE I","/HANDS FEET, NUMBNESS EXPERIENCE I/*.npy"
it's important to inform us of any changes in your health,HEALTH CHANGE ANY TELL IMPORTANT,/HEALTH CHANGE ANY TELL IMPORTANT/*.npy
it's important to maintain communication with us about any changes in your health,HEALTH CHANGE COMMUNICATION MAINTAIN IMPORTANT,/HEALTH CHANGE COMMUNICATION MAINTAIN IMPORTANT/*.npy
how active are you able to be with your current health condition?,HEALTH CONDITION ACTIVE HOW MUCH?,/HEALTH CONDITION ACTIVE HOW MUCH?/*.npy
how has your mobility been affected by your health condition?,HEALTH CONDITION AFFECT MOBILITY HOW?,/HEALTH CONDITION AFFECT MOBILITY HOW?/*.npy
do you have any specific goals for your health and treatment?,HEALTH GOAL SPECIFIC HAVE YOU?,/HEALTH GOAL SPECIFIC HAVE YOU?/*.npy
would you like to discuss any preventive measures for your health?,HEALTH PREVENTIVE MEASURE DISCUSS WANT?,/HEALTH PREVENTIVE MEASURE DISCUSS WANT?/*.npy
how are you feeling about the progress you've made with your health?,HEALTH PROGRESS FEEL ABOUT HOW?,/HEALTH PROGRESS FEEL ABOUT HOW?/*.npy
are there any lifestyle changes you've made recently related to your health?,HEALTH RELATED LIFESTYLE CHANGE RECENT ANY?,/HEALTH RELATED LIFESTYLE CHANGE RECENT ANY?/*.npy
do you need any assistance with accessing health resources or information?,HEALTH RESOURCE INFORMATION ACCESS HELP NEED?,/HEALTH RESOURCE INFORMATION ACCESS HELP NEED?/*.npy
how well are you dealing with the stress related to your health condition?,HEALTH STRESS DEAL WELL HOW?,/HEALTH STRESS DEAL WELL HOW?/*.npy
can we get assistance with navigating the healthcare system?,"HEALTHCARE SYSTEM NAVIGATE, ASSISTANCE GET CAN?","/HEALTHCARE SYSTEM NAVIGATE, ASSISTANCE GET CAN?/*.npy"
we will do a hearing test,HEARING TEST DO WILL,/HEARING TEST DO WILL/*.npy
i'm having trouble hearing can you speak louder?,"HEARING TROUBLE HAVE I, LOUDER SPEAK CAN YOU?","/HEARING TROUBLE HAVE I, LOUDER SPEAK CAN YOU?/*.npy"
we will check your heart,HEART CHECK DO WILL,/HEART CHECK DO WILL/*.npy
i need information on managing my heart condition,"HEART CONDITION, MANAGING INFORMATION NEED","/HEART CONDITION, MANAGING INFORMATION NEED/*.npy"
we need to evaluate your risk for heart disease,HEART DISEASE RISK EVALUATE NEED,/HEART DISEASE RISK EVALUATE NEED/*.npy
we need to monitor your heart rate and rhythm,HEART RATE RHYTHM MONITOR NEED WE,/HEART RATE RHYTHM MONITOR NEED WE/*.npy
